,null_deg,sixty_deg,ninety_deg,straight_angle,twofourty_deg,labels
23,0.5509926996047194,0.45135672535711385,0.4713541787581402,0.4288301290964463,0.9430890938103891,M
24,0.5322956849247761,0.3649071135202992,0.3908749248175371,0.3067905057581414,0.5346613858903217,R
25,0.3364430186718154,0.09787683581515268,0.2754744475811561,0.041282171547785594,0.25503935658072174,R
26,0.7953193978490363,0.5828629204262937,0.5978619493768152,0.9120418037190099,0.8910099330352985,M
27,0.1472009510402102,0.28093942840517666,0.4601592577684142,0.08310924131052452,0.5627551608789602,R
28,0.4937385236607975,0.3008060634994168,0.2541768038768156,0.48335827972922696,0.12482740684381985,R
29,0.19093363151734258,0.4547194730071888,0.0721401935592334,0.13408864683718888,0.16802423398374092,R
30,0.5316493224688326,0.9725258345604806,0.8003208748971875,0.5534145780987876,0.6035777535372838,M
31,0.9867431239545599,0.7217787178469035,0.8210131921785049,0.7625443907547824,0.5372306037215117,M
32,0.49809924829364,0.9268198319893763,0.6971866800477471,0.6310450646083863,0.43796037997943627,M
33,0.8316790667961469,0.48465195569509545,0.43331439035677344,0.7809429516575983,0.8889308981055273,M
34,0.5403101264848025,0.23798706027043398,0.17609611575844758,0.19795069078443817,0.26868408635556185,R
35,0.973312474170593,0.5191679985038222,0.6259951484365232,0.47312148590231007,0.6595523633200109,M
36,0.49016434148479604,0.9901394582420056,0.69463154325356,0.990579457530627,0.5357726748374527,M
37,0.9636293238001523,0.9771089653861245,0.5076275667537977,0.7442093791443809,0.7328235583468765,M
38,0.03327320784203408,0.37058253424457727,0.5296384435733799,0.49183945613232316,0.29872243479486255,R
39,0.3527718775884942,0.2858669262120465,0.4522479925739205,0.15333054135284988,0.5251813200322163,R
40,0.3719169552533229,0.060422128908716705,0.26829473058313663,0.5657724790735004,0.27457268600420304,R
41,0.49061431953768214,0.34513091325357675,0.5624897100542494,0.21359093482996802,0.5305634155148771,R
42,0.7058240756531725,0.7584579217696139,0.4782084732186166,0.910856951929963,0.740989875578195,M
43,0.1470471941938108,0.382456347809077,0.393830966183841,0.19479897704319346,0.1848502135265778,R
44,0.9950702080156069,0.6909428474954203,0.813679694077703,0.4443637564132088,0.7554375649944403,M
45,0.562813681244662,0.9380008774814634,0.5892635352486718,0.7804799366000816,0.44298512764529124,M
46,0.38724207779354686,0.32259612197161747,0.24345049698273233,0.5127391471404248,0.24590354094469025,R
47,0.5463120091139577,0.9892618889452287,0.5038887293840985,0.49547218636179885,0.6130172729275903,M
48,0.351829493698623,0.17698827795655206,0.5416750772955864,0.14518657152978812,0.45920097435885926,R
49,0.48346161226141066,0.6816394934209689,0.659080896998249,0.9887627679304887,0.9543388297960229,M
50,0.6352617915616219,0.48154884929166736,0.4639368341115095,0.8350852286758526,0.8777784569980627,M
51,0.6096203608256003,0.7820328017422488,0.9169309072226581,0.6305882220536083,0.61609735650652,M
52,0.2871441583637942,0.16273471292579025,0.5640156541465906,0.2714993279460866,0.34788709739607737,R
53,0.4517629530969453,0.4231167806491551,0.6529086285053314,0.8598410283480834,0.865977307485281,M
54,0.4327430084864175,0.33251240691212763,0.37491173807039196,0.4107738151620822,0.2702709312109871,R
55,0.6906397248951306,0.8307880707444248,0.4859507355664587,0.8399138174826682,0.7559256375194687,M
56,0.6934528137508955,0.8592211708204714,0.5586884557784861,0.7210165726930429,0.7137782393349139,M

